supplementary_table,section,section_row,Predictor,Outcome,n,Spearman rho,95% CI low,95% CI high,Unadjusted P value,Holm-adjusted P value,Predictor 1,Predictor 2,Pearson r,Term,Estimate,Model-based SE,t statistic,P value,Model statistic,Value,Primary estimate,Minimum leave-one-country-out estimate,Maximum leave-one-country-out estimate,Country producing largest absolute change,Excluded country,R&D coefficient,Researcher-density coefficient,Country code,"Institutions, n",Cook's distance,Leverage,Standardized weighted residual,title,description,notes
S6,LOO estimates,30,,,,,,,,,,,,,,,,,,,,,,,THA,-0.11928226453769,-0.173125811765551,,,,,,,,
S6,LOO estimates,31,,,,,,,,,,,,,,,,,,,,,,,ROU,-0.123527881156677,-0.181687058187219,,,,,,,,
S6,LOO estimates,32,,,,,,,,,,,,,,,,,,,,,,,ARG,-0.120612634943584,-0.171212046888669,,,,,,,,
S6,LOO estimates,33,,,,,,,,,,,,,,,,,,,,,,,SWE,-0.12182684864827,-0.175807302025735,,,,,,,,
S6,LOO estimates,34,,,,,,,,,,,,,,,,,,,,,,,UZB,-0.117366342077118,-0.195567869592852,,,,,,,,
S6,LOO estimates,35,,,,,,,,,,,,,,,,,,,,,,,ARE,-0.119232935734342,-0.175580418000264,,,,,,,,
S6,LOO estimates,36,,,,,,,,,,,,,,,,,,,,,,,JOR,-0.124925447171682,-0.179976351262698,,,,,,,,
S6,LOO estimates,37,,,,,,,,,,,,,,,,,,,,,,,KAZ,-0.118870916928128,-0.175141382513042,,,,,,,,
S6,LOO estimates,38,,,,,,,,,,,,,,,,,,,,,,,ZAF,-0.113892987326982,-0.185178317567055,,,,,,,,
S6,LOO estimates,39,,,,,,,,,,,,,,,,,,,,,,,NLD,-0.118736080852836,-0.174374004298047,,,,,,,,
S6,LOO estimates,40,,,,,,,,,,,,,,,,,,,,,,,AUT,-0.117748404396852,-0.175979257053155,,,,,,,,
S6,LOO estimates,41,,,,,,,,,,,,,,,,,,,,,,,CZE,-0.119278892243722,-0.175994220996146,,,,,,,,
S6,LOO estimates,42,,,,,,,,,,,,,,,,,,,,,,,GRC,-0.119813633950568,-0.174621897793638,,,,,,,,
