supplementary_table,section,section_row,Country or territory code,"Institutions, n",Mean IRIS Overall score,Median IRIS Overall score,SD IRIS Overall score,Very low (%),Low (%),Medium (%),Significant (%),Medium or significant (%),Mean scientific output,Median scientific output,Mean multi-affiliation,Mean retracted output,Mean self-citation,Mean discontinued journals output,Mean hyperauthored output,Mean leadership impact gap,Mean hyperprolific authors,Mean institutional journal output,Mean redundant output,title,description,notes
S2,Country summary,20,TWN,74,-0.0936891891891892,-0.2205,0.4434276801833172,41.891891891891895,25.675675675675677,29.72972972972973,2.702702702702702,32.432432432432435,4056.0945945945946,1696,0.8987837837837838,0.0312162162162161,-0.4581486486486487,-0.0591621621621621,-0.9542567567567568,-0.6443918918918919,-0.5680405405405404,-0.0995675675675675,-0.2285945945945946,,,
S2,Country summary,21,CAN,68,-0.2094705882352941,-0.2125,0.201033038837218,38.23529411764706,51.47058823529412,10.294117647058822,0,10.294117647058822,11030.176470588236,3996,0.0680441176470588,-0.107735294117647,-0.3685882352941176,-0.4298970588235294,-0.2827352941176471,0.0453676470588235,-0.455470588235294,-0.2002794117647059,-0.0413235294117647,,,
S2,Country summary,22,VNM,61,0.3450819672131147,0.157,0.6486684899361658,11.475409836065571,21.311475409836063,55.73770491803278,11.475409836065571,67.21311475409836,1783.8032786885246,1296,-0.0881803278688524,0.3674754098360655,0.252967213114754,1.8099672131147544,-0.8346229508196722,-0.029,-0.8644590163934426,-0.268,0.5102295081967213,,,
S2,Country summary,23,EGY,55,0.5355818181818182,0.479,0.6515727323862054,3.636363636363636,14.545454545454543,69.0909090909091,12.727272727272728,81.81818181818183,4615.018181818182,1997,2.4867636363636363,0.4996181818181818,0.7396181818181818,0.7941272727272727,-0.6950181818181819,-0.3723636363636364,0.1380727272727273,-0.2273090909090909,0.071490909090909,,,
S2,Country summary,24,MEX,54,-0.0223333333333333,-0.2105,0.6642638143797535,40.74074074074074,33.33333333333333,20.37037037037037,5.555555555555555,25.925925925925924,3216.925925925926,1437,-0.5232222222222223,0.1307037037037037,-0.0915,0.1101666666666666,-0.2758148148148148,0.1478148148148148,-0.6656666666666666,0.4521481481481481,0.0218518518518518,,,
S2,Country summary,25,COL,52,0.7114615384615385,0.165,1.5854881658283988,3.8461538461538463,21.153846153846157,61.53846153846154,13.461538461538462,75,1844.0384615384612,1136,0.4541730769230769,1.182653846153846,-0.1536153846153846,1.1214807692307691,-0.1947884615384615,0.8322115384615384,-0.8790192307692306,1.466576923076923,0.0806538461538461,,,
S2,Country summary,26,DZA,49,0.278265306122449,-0.002,0.9693128961518352,12.244897959183673,38.775510204081634,42.85714285714285,6.122448979591836,48.97959183673469,1353.8367346938776,1204,1.1728979591836737,0.746673469387755,0.7908571428571429,0.135204081632653,-1.1186938775510205,0.118938775510204,-1.0365102040816323,-0.268,1.0164285714285717,,,
S2,Country summary,27,CHL,46,0.0707391304347826,0.031,0.291664299783357,8.695652173913043,34.78260869565217,54.34782608695652,2.1739130434782608,56.52173913043478,3138.9565217391305,2137,1.579717391304348,-0.2094782608695652,0.1064130434782608,-0.0673043478260869,0.0069782608695652,0.4453695652173913,-0.7159782608695652,0.3955869565217391,-0.1358260869565217,,,
S2,Country summary,28,BGD,43,0.4184883720930232,0.036,1.2437264737586955,11.627906976744184,34.88372093023256,41.86046511627907,11.627906976744184,53.48837209302325,1701.5116279069769,1274,0.4717209302325581,1.278767441860465,0.103860465116279,0.4462325581395349,-0.879906976744186,0.0454883720930232,-0.3449302325581395,-0.2585581395348837,-0.0918837209302325,,,
S2,Country summary,29,MYS,43,0.6282558139534884,0.628,0.5192276357851267,4.651162790697675,6.976744186046512,72.09302325581395,16.27906976744186,88.37209302325581,6358.325581395349,4080,-0.0273720930232558,0.8346046511627907,-0.1703333333333333,1.888186046511628,-0.902953488372093,-0.1034651162790697,0.1625581395348837,0.3635581395348837,0.1822093023255813,,,
S2,Country summary,30,NGA,43,0.1403488372093023,0.034,0.3846422508377988,4.651162790697675,30.23255813953488,58.13953488372093,6.976744186046512,65.11627906976744,2118.6279069767443,1225,0.3575813953488372,0.0046976744186046,0.4820465116279069,0.6142558139534884,-0.4745116279069767,1.051581395348837,-0.6250465116279069,-0.268,0.3355348837209302,,,
S2,Country summary,31,PRT,43,0.3334651162790698,0.296,0.404761678783078,0,13.953488372093023,81.3953488372093,4.651162790697675,86.04651162790698,5369.860465116279,1333,3.2928372093023257,-0.1234418604651163,0.1033953488372093,0.1466744186046511,-0.3005116279069768,-0.0388604651162791,-0.2305813953488371,0.4004651162790697,0.1360930232558139,,,
S2,Country summary,32,SAU,43,0.958093023255814,0.7879999999999999,1.588653799889248,6.976744186046512,0,67.44186046511628,25.58139534883721,93.02325581395348,7717.3488372093025,4786,1.2925116279069768,1.496767441860465,-0.2343255813953488,1.517953488372093,-0.7142325581395349,0.4945813953488372,1.0995813953488371,-0.2467441860465116,0.2731627906976744,,,
S2,Country summary,33,THA,42,0.1362619047619047,0.05,0.5890933115669102,19.047619047619047,28.57142857142857,45.23809523809524,7.142857142857142,52.38095238095239,3645.214285714286,1567.5,-0.6868333333333333,0.0395,0.5436666666666666,1.3471666666666666,-0.8726666666666667,-0.3822142857142857,-0.4791428571428571,0.0318809523809523,0.0776428571428571,,,
S2,Country summary,34,AUS,41,-0.0193414634146341,-0.011,0.1730266756537987,9.75609756097561,43.90243902439025,46.34146341463415,0,46.34146341463415,18914.243902439022,14150,1.4233414634146342,-0.0565609756097561,-0.5175121951219512,-0.4157317073170732,-0.1317560975609756,0.3139512195121951,0.0582439024390243,-0.229170731707317,-0.5539268292682927,,,
S2,Country summary,35,PER,38,0.6733421052631579,0.5465,0.7296968743591424,5.263157894736842,10.526315789473683,60.526315789473685,23.684210526315788,84.21052631578947,1401.421052631579,955,-0.3452631578947369,0.6417368421052632,0.8482368421052631,2.7927631578947367,-0.4672368421052632,0.32,-0.6600526315789472,-0.0564473684210526,-0.1321052631578948,,,
S2,Country summary,36,MAR,37,0.076054054054054,0.071,0.2936353507655698,13.513513513513514,27.027027027027028,59.45945945945946,0,59.45945945945946,2685.4054054054054,1154,0.0531891891891892,-0.1995135135135135,1.3697297297297295,1.0455405405405405,-0.6907297297297298,-1.0675405405405405,-0.5474324324324323,-0.268,0.4503783783783783,,,
S2,Country summary,37,ROU,35,0.0538,-0.016,0.3919271240782338,22.857142857142858,31.428571428571427,42.85714285714285,2.857142857142857,45.71428571428572,2777.342857142857,2363,-0.5994571428571429,-0.2146571428571428,0.2732,0.6983428571428572,-0.2547142857142857,0.5754,-0.5209142857142857,0.5900285714285713,0.0385714285714285,,,
S2,Country summary,38,ARG,33,-0.1454242424242424,-0.252,0.4232919375489443,42.42424242424242,45.45454545454545,9.090909090909092,3.0303030303030303,12.12121212121212,2429.5151515151515,1220,0.0395757575757575,-0.1411818181818181,0.3102424242424242,-0.4028787878787879,0.0107575757575757,1.0657272727272726,-1.1530303030303028,-0.0703636363636363,0.5335454545454545,,,
S2,Country summary,39,SWE,33,-0.0924848484848484,-0.089,0.2260732902749848,21.21212121212121,57.57575757575758,21.21212121212121,0,21.21212121212121,8872.848484848484,2621,1.779090909090909,-0.0441212121212121,-0.4354242424242424,-0.4344242424242424,-0.1994545454545454,-0.4019696969696969,-0.8126969696969696,-0.2526969696969697,-0.2366363636363636,,,
S2,Country summary,40,ECU,30,1.1223333333333334,0.695,1.033314731015354,0,0,66.66666666666666,33.33333333333333,100,1244.3,1102.5,1.009966666666667,0.6808666666666666,0.7979999999999999,4.273233333333334,-0.554,0.4926666666666666,-0.5274666666666666,-0.1865,-0.0603333333333333,,,
S2,Country summary,41,UZB,29,1.3466896551724137,1.007,1.293349833998307,0,0,55.172413793103445,44.82758620689656,100,793.8275862068965,482,0.8390344827586206,0.8182413793103448,6.950517241379311,3.152206896551724,-1.1170689655172412,-0.3179655172413793,-0.6901724137931033,-0.268,4.139310344827586,,,
S2,Country summary,42,ARE,26,0.242576923076923,0.124,0.6259584761357209,7.6923076923076925,30.76923076923077,53.84615384615385,7.6923076923076925,61.53846153846154,2803.692307692308,1031.5,0.4914615384615384,0.0025384615384615,-0.4141153846153846,0.8662307692307692,-0.824076923076923,0.181076923076923,0.7604230769230769,-0.268,0.4609615384615383,,,
S2,Country summary,43,ETH,26,0.0650384615384615,0.0069999999999999,0.3883108528763244,7.6923076923076925,42.30769230769231,46.15384615384615,3.8461538461538463,50,2153.692307692308,1488,0.2266153846153846,-0.1022692307692307,-1.3479615384615384,0.8178076923076923,-0.4368846153846153,2.1796153846153845,-0.8882692307692307,-0.2102692307692308,-0.0069230769230769,,,
S2,Country summary,44,JOR,26,0.8625384615384616,0.718,0.6681744221844611,3.8461538461538463,0,57.692307692307686,38.46153846153847,96.15384615384616,2527.3846153846152,1641,0.5272307692307693,0.2283076923076922,1.1733846153846152,3.3682692307692306,-0.8006538461538462,0.2246153846153845,0.1393846153846153,-0.0432692307692307,0.5647692307692307,,,
S2,Country summary,45,KAZ,25,0.83684,0.625,0.8615238766279202,0,8,64,28.000000000000004,92,1299.2,710,-0.43284,0.47056,1.92944,3.94428,-0.593,-0.0618799999999999,-1.22928,-0.268,0.72308,,,
S2,Country summary,46,ZAF,25,0.1030799999999999,0.039,0.3414261657615987,16,24,60,0,60,7886.92,4038,0.91084,-0.04232,0.1117599999999999,0.1717199999999999,-0.45916,0.22272,-0.1090799999999999,-0.17772,0.5059600000000001,,,
S2,Country summary,47,NLD,24,-0.173,-0.171,0.1994930531644387,33.33333333333333,58.333333333333336,8.333333333333332,0,8.333333333333332,17420.833333333332,11709.5,1.233458333333333,-0.2116666666666666,-0.43,-0.4549166666666667,-0.0111249999999999,-0.4840833333333333,-0.5548749999999999,-0.2577916666666667,-0.2843333333333333,,,
S2,Country summary,48,AUT,23,-0.1896086956521739,-0.219,0.1758728205603631,30.434782608695656,47.82608695652174,21.73913043478261,0,21.73913043478261,6437.521739130435,4136,0.6969565217391305,-0.2738260869565218,-0.3012173913043478,-0.4379565217391304,0.1933478260869565,-0.0986086956521739,-0.5500869565217391,-0.2676086956521739,0.0507826086956521,,,
