id,institution,country,sir_rank,overall,risk,output,multi_affiliation,retracted_output,self_citation,discontinued_journals_output,hyperauthored_output,leadership_impact_gap,hyperprolific_authors,institutional_journal_output,redundant_output,multi_affiliation_w,retracted_output_w,self_citation_w,discontinued_journals_output_w,hyperauthored_output_w,leadership_impact_gap_w,hyperprolific_authors_w,institutional_journal_output_w,redundant_output_w,cluster_raw,mean_overall,profile
85799,Qiqihar Medical University,CHN,8613,0.07500000000000001,medium,987,-0.043000000000000003,-0.493,-0.933,2.8949999999999996,-1.1300000000000001,-0.923,-1.4129999999999998,-0.268,-0.6739999999999999,-0.043000000000000003,-0.493,-0.933,2.8949999999999996,-1.1300000000000001,-0.923,-1.4129999999999998,-0.268,-0.6739999999999999,1,-0.12721371216800495,Profile 1
3110,Hellenic Open University,GRC,8619,0.647,medium,2668,4.066999999999999,-0.33399999999999996,1.045,0.375,2.239,0.496,1.149,-0.268,-0.23,4.066999999999999,-0.33399999999999996,1.045,0.375,2.239,0.496,1.149,-0.268,-0.23,2,0.05370313757039421,Profile 2
1947,Universidad Libre,COL,8619,0.14200000000000002,medium,851,0.712,-0.118,-0.6719999999999999,1.603,-0.631,0.356,-1.4129999999999998,-0.268,0.014,0.712,-0.118,-0.6719999999999999,1.603,-0.631,0.356,-1.4129999999999998,-0.268,0.014,1,-0.12721371216800495,Profile 1
62116,Rawalpindi Medical University,PAK,8622,0.975,medium,541,-1.4129999999999998,0.69,-1.771,4.9590000000000005,-0.548,2.917,-0.734,-0.268,-0.24200000000000002,-1.4129999999999998,0.69,-1.771,4.9590000000000005,-0.548,2.917,-0.734,-0.268,-0.24200000000000002,2,0.05370313757039421,Profile 2
98074,State University of Information and Communication Technologies,UKR,8622,1.058,medium,474,-1.565,0.042,4.399,2.54,0.8530000000000001,-2.608,-1.4129999999999998,-0.268,14.6,-1.565,0.042,4.399,2.54,0.8530000000000001,-2.608,-1.4129999999999998,-0.268,6.969020000000016,5,0.749297836938436,Profile 4
84949,Bukovinian State Medical University,UKR,8622,1.228,significant,1054,-1.579,0.014,1.618,4.906000000000001,0.05,2.4299999999999997,-1.4129999999999998,-0.268,7.281000000000001,-1.579,0.014,1.618,4.906000000000001,0.05,2.4299999999999997,-1.4129999999999998,-0.268,6.969020000000016,5,0.749297836938436,Profile 4
3509,Visvesvaraya Technological University,IND,8622,0.42100000000000004,medium,3258,1.412,-0.306,-0.77,3.175,-1.371,-0.734,-1.4129999999999998,-0.268,0.965,1.412,-0.306,-0.77,3.175,-1.371,-0.734,-1.4129999999999998,-0.268,0.965,1,-0.12721371216800495,Profile 1
9071,Universite du Quebec en Outaouais,CAN,8622,-0.21300000000000002,low,1584,-0.527,-0.29600000000000004,-0.2,-0.41300000000000003,-0.42000000000000004,0.581,-1.4129999999999998,-0.268,3.617,-0.527,-0.29600000000000004,-0.2,-0.41300000000000003,-0.42000000000000004,0.581,-1.4129999999999998,-0.268,3.617,1,-0.12721371216800495,Profile 1
12821,University of National and World Economy,BGR,8628,-0.042,low,500,-1.503,-0.014,-0.535,1.44,-0.5750000000000001,-0.396,-1.4129999999999998,-0.268,1.37,-1.503,-0.014,-0.535,1.44,-0.5750000000000001,-0.396,-1.4129999999999998,-0.268,1.37,1,-0.12721371216800495,Profile 1
5629,Universidad Autonoma de Nayarit,MEX,8629,-0.42700000000000005,very low,619,-1.2029999999999998,-0.28700000000000003,-0.193,0.21400000000000002,-0.969,0.447,-1.4129999999999998,-0.268,-1.1860000000000002,-1.2029999999999998,-0.28700000000000003,-0.193,0.21400000000000002,-0.969,0.447,-1.4129999999999998,-0.268,-1.1860000000000002,1,-0.12721371216800495,Profile 1
96988,"University of Education, Winneba",GHA,8629,0.234,medium,1367,-0.43000000000000005,1.319,-0.25,0.525,-1.117,-0.8540000000000001,-0.626,-0.268,-0.453,-0.43000000000000005,1.319,-0.25,0.525,-1.117,-0.8540000000000001,-0.626,-0.268,-0.453,1,-0.12721371216800495,Profile 1
6156,National Open University of Nigeria,NGA,8629,0.531,medium,541,0.41200000000000003,0.38,1.6920000000000002,1.4829999999999999,0.26,4.191999999999999,-1.4129999999999998,-0.268,-1.1860000000000002,0.41200000000000003,0.38,1.6920000000000002,1.4829999999999999,0.26,4.191999999999999,-1.4129999999999998,-0.268,-1.1860000000000002,2,0.05370313757039421,Profile 2
62530,Mapua University,PHL,8633,0.383,medium,2782,-0.616,-0.14600000000000002,6.3549999999999995,-0.038,-1.122,-1.8860000000000001,2.945,-0.268,1.228,-0.616,-0.14600000000000002,6.3549999999999995,-0.038,-1.122,-1.8860000000000001,2.945,-0.268,1.228,5,0.749297836938436,Profile 4
97384,Mardin Artuklu University,TUR,8636,-0.352,very low,764,-1.4029999999999998,0.117,-0.456,0.344,-1.083,-0.887,-1.4129999999999998,-0.268,-0.525,-1.4029999999999998,0.117,-0.456,0.344,-1.083,-0.887,-1.4129999999999998,-0.268,-0.525,1,-0.12721371216800495,Profile 1
808,Universidade Estadual de Montes Claros,BRA,8636,-0.201,low,1176,0.371,0.014,0.356,-0.41200000000000003,-0.637,1.2049999999999998,-1.4129999999999998,-0.268,-0.754,0.371,0.014,0.356,-0.41200000000000003,-0.637,1.2049999999999998,-1.4129999999999998,-0.268,-0.754,1,-0.12721371216800495,Profile 1
97099,"National Institute of Technology, Puducherry",IND,8636,-0.47200000000000003,very low,1157,-1.342,-0.47500000000000003,1.275,0.08700000000000001,-1.359,-1.819,-0.755,-0.268,-0.309,-1.342,-0.47500000000000003,1.275,0.08700000000000001,-1.359,-1.819,-0.755,-0.268,-0.309,1,-0.12721371216800495,Profile 1
7922,University of Economics in Bratislava,SVK,8640,-0.096,low,828,-0.6819999999999999,-0.09899999999999999,-0.556,1.032,-1.284,1.099,-1.4129999999999998,-0.268,0.024,-0.6819999999999999,-0.09899999999999999,-0.556,1.032,-1.284,1.099,-1.4129999999999998,-0.268,0.024,1,-0.12721371216800495,Profile 1
84185,Wuxi Institute of Technology,CHN,8640,0.705,medium,603,1.28,-0.465,-1.6,5.086,-1.361,-0.15200000000000002,-1.4129999999999998,-0.268,0.468,1.28,-0.465,-1.6,5.086,-1.361,-0.15200000000000002,-1.4129999999999998,-0.268,0.468,1,-0.12721371216800495,Profile 1
15469,University of St. Thomas,USA,8640,-0.462,very low,1090,-1.335,-0.10800000000000001,-1.21,-0.402,-0.911,0.559,-0.751,-0.268,-0.704,-1.335,-0.10800000000000001,-1.21,-0.402,-0.911,0.559,-0.751,-0.268,-0.704,1,-0.12721371216800495,Profile 1
94473,Universidade Federal do Delta do Parnaiba,BRA,8640,-0.28,very low,617,0.885,-0.43700000000000006,-0.023,-0.376,0.449,-0.754,-1.4129999999999998,-0.268,0.43800000000000006,0.885,-0.43700000000000006,-0.023,-0.376,0.449,-0.754,-1.4129999999999998,-0.268,0.43800000000000006,1,-0.12721371216800495,Profile 1
1193,Universidad Finis Terrae,CHL,8644,-0.163,low,991,1.55,-0.4,-0.642,-0.33399999999999996,-0.446,2.2430000000000003,-1.4129999999999998,-0.268,-0.42100000000000004,1.55,-0.4,-0.642,-0.33399999999999996,-0.446,2.2430000000000003,-1.4129999999999998,-0.268,-0.42100000000000004,2,0.05370313757039421,Profile 2
98245,Wuchang University of Technology,CHN,8644,0.806,medium,996,2.4989999999999997,2.5589999999999997,-1.486,0.29400000000000004,-1.23,1.04,-1.005,-0.268,-1.1860000000000002,2.4989999999999997,2.5589999999999997,-1.486,0.29400000000000004,-1.23,1.04,-1.005,-0.268,-1.1860000000000002,3,2.2563982300884957,Profile 5
4394,University of Kitakyushu,JPN,8644,0.028,medium,1273,1.872,-0.5690000000000001,0.985,-0.258,-1.21,-0.8210000000000001,1.4209999999999998,-0.268,0.001,1.872,-0.5690000000000001,0.985,-0.258,-1.21,-0.8210000000000001,1.4209999999999998,-0.268,0.001,1,-0.12721371216800495,Profile 1
98019,Ghazi University,PAK,8648,0.037,medium,878,0.12100000000000001,0.493,-1.224,0.704,-0.378,0.8720000000000001,-1.4129999999999998,-0.268,-1.1860000000000002,0.12100000000000001,0.493,-1.224,0.704,-0.378,0.8720000000000001,-1.4129999999999998,-0.268,-1.1860000000000002,1,-0.12721371216800495,Profile 1
12806,New Bulgarian University,BGR,8650,-0.052000000000000005,low,481,0.535,-0.268,-0.703,-0.21900000000000003,0.77,1.649,-1.4129999999999998,-0.268,2.018,0.535,-0.268,-0.703,-0.21900000000000003,0.77,1.649,-1.4129999999999998,-0.268,2.018,2,0.05370313757039421,Profile 2
